Number of nodes,Number of Edges,Average Degree,Density,Cut-Ratio,Avg. internal density,Coverage,Performance,Modularity,Execution Time
305,21928,143.79016393442623,0.4729939603106126,0.29805194805194807,0,0.4593214155417731,0.669672131147541,0.0783731598844069,61.60164042934775
310,22687,146.36774193548388,0.47368201273619376,0.3002643837341055,0,0.46154185216203114,0.6671677628144901,0.07701211460535363,64.71004662290215
315,23470,149.015873015873,0.4745728439995956,0.30116959064327486,0,0.45956540264167023,0.667718127590739,0.07712404888598506,68.79926108568907
320,24313,151.95625,0.47635188087774294,0.3018055390936747,0,0.47184633735038867,0.6680054858934169,0.07526497209241789,72.83171786367893
325,25057,154.19692307692307,0.4759164292497626,0.5030864197530864,0,0.43361136608532547,0.6671794871794872,0.07996350513430252,78.70199128985405
330,25695,155.72727272727272,0.47333517546283504,0.49848024316109424,0,0.4302004280988519,0.6693009118541033,0.08432665724347851,84.45147144049406
335,26682,159.2955223880597,0.4769327017606578,0.5029940119760479,0,0.4347500187392249,0.6656180176959514,0.08099008813691978,88.10961903631687
340,27606,162.38823529411764,0.47902134305049454,0.504424778761062,0,0.43722379192929073,0.6665104980045116,0.08183491759771401,93.48949502408504
345,28274,163.9072463768116,0.47647455342096395,0.5,0,0.4530310532644833,0.6684192787327267,0.08212401288757841,96.99755728244781
350,29124,166.42285714285714,0.47685632419156776,0.2987281869269447,0,0.4529940942178272,0.6642816209578387,0.08105109604705907,101.1307461373508
355,29908,168.49577464788732,0.47597676454205456,0.5028248587570622,0,0.4316236458472649,0.6640407416248906,0.08276830946363113,108.39684643223882
360,30952,171.95555555555555,0.4789848344165893,0.31376624988365237,0,0.4475316619281468,0.6630145465800061,0.0733855909868629,112.88866786658764
365,31712,173.76438356164383,0.47737468011440615,0.3134715025906736,0,0.4393920282542886,0.6632244467860906,0.07426686112671733,118.94819355756044
370,32479,175.56216216216217,0.4757782172416319,0.2984411764705882,0,0.45404723051818097,0.6647623232989087,0.08069389546158307,123.16386784613132
375,33370,177.97333333333333,0.47586452762923354,0.3003373934923086,0,0.44674857656577766,0.6626880570409982,0.08082126517288879,128.77340434491634
380,34208,180.0421052631579,0.4750451326204694,0.30102140213186385,0,0.4442820392890552,0.662338564088321,0.08048766671588044,135.0126503892243
385,35225,182.98701298701297,0.4765286796536797,0.31398373983739836,0,0.4451100070972321,0.6648133116883117,0.07265152933010499,143.02253914996982
390,36175,185.51282051282053,0.4768967108298728,0.31597451690501993,0,0.4469937802349689,0.6628963153384747,0.07132988539069227,148.70905087143183
395,37140,188.0506329113924,0.47728587033348324,0.31359173126614986,0,0.4568659127625202,0.6631883312985928,0.0713207256363659,152.57399033382535
400,38097,190.485,0.477406015037594,0.31117536140791957,0,0.4502716749350342,0.6642355889724311,0.0740053292221825,160.8401129618287
405,39118,193.1753086419753,0.47815670455934484,0.31382742817720394,0,0.4659747430850248,0.6648942672044982,0.06982266599041623,166.67585369944572
410,40163,195.9170731707317,0.4790148488281949,0.3135855855855856,0,0.4630630182008316,0.6640586797066015,0.07094094081370789,173.91597605124116
415,41374,199.39277108433734,0.48162505092835106,0.3149035075362727,0,0.4682650940203993,0.6655375123683138,0.07014364326946244,181.1769751124084
420,42311,201.48095238095237,0.4808614615297193,0.31622345908060195,0,0.4644655054241214,0.6639163541311512,0.06979896307434141,189.40800355374813
425,43535,204.87058823529412,0.48318534961154275,0.3143845773603559,0,0.47343516710692546,0.6613096559378469,0.07056018802548912,194.76325222849846
430,44588,207.3860465116279,0.4834173578359625,0.5244755244755245,0,0.44947070960796626,0.6631322166205887,0.0764248054991225,210.7611250281334
435,45811,210.62528735632185,0.4853117220191747,0.5276497695852534,0,0.4760428717993495,0.6652576937337783,0.07286419248445172,213.07022686302662
440,46651,212.05,0.4830296127562642,0.5239179954441914,0,0.4711796102977428,0.6651998343342307,0.07291901222565264,222.52756498754025
445,47785,214.76404494382024,0.483702803927523,0.5225225225225225,0,0.4618813435178403,0.6654924587508857,0.06950226169239776,234.8990134894848
450,48825,217.0,0.48329621380846327,0.5256124721603563,0,0.4646799795186892,0.6651323929720366,0.07487474650707386,242.94794222712517
